Nr      tilename      min_lat      max_lat      min_lon      max_lon
312      N11E021_full      11.001      11.999      21.001      21.999
313      N11E022_full      11.001      11.999      22.001      22.999
314      N11E023_full      11.001      11.999      23.001      23.999
315      N11E024_full      11.001      11.999      24.001      24.999
316      N11E025_full      11.001      11.999      25.001      25.999
317      N11E026_full      11.001      11.999      26.001      26.999
318      N11E027_full      11.001      11.999      27.001      27.999
319      N11E028_full      11.001      11.999      28.001      28.999
320      N11E029_full      11.001      11.999      29.001      29.999
321      N12E000_full      12.001      12.999      0.001      0.999
322      N12E001_full      12.001      12.999      1.001      1.999
323      N12E002_full      12.001      12.999      2.001      2.999
324      N12E003_full      12.001      12.999      3.001      3.999
325      N12E004_full      12.001      12.999      4.001      4.999
326      N12E005_full      12.001      12.999      5.001      5.999
327      N12E006_full      12.001      12.999      6.001      6.999
328      N12E007_full      12.001      12.999      7.001      7.999
329      N12E008_full      12.001      12.999      8.001      8.999
330      N12E009_full      12.001      12.999      9.001      9.999
331      N12E010_full      12.001      12.999      10.001      10.999
332      N12E011_full      12.001      12.999      11.001      11.999
333      N12E012_full      12.001      12.999      12.001      12.999
334      N12E013_full      12.001      12.999      13.001      13.999
335      N12E014_full      12.001      12.999      14.001      14.999
336      N12E015_full      12.001      12.999      15.001      15.999
337      N12E016_full      12.001      12.999      16.001      16.999
338      N12E017_full      12.001      12.999      17.001      17.999
339      N12E018_full      12.001      12.999      18.001      18.999
340      N12E019_full      12.001      12.999      19.001      19.999
341      N12E020_full      12.001      12.999      20.001      20.999
342      N12E021_full      12.001      12.999      21.001      21.999
343      N12E022_full      12.001      12.999      22.001      22.999
344      N12E023_full      12.001      12.999      23.001      23.999
345      N12E024_full      12.001      12.999      24.001      24.999
346      N12E025_full      12.001      12.999      25.001      25.999
347      N12E026_full      12.001      12.999      26.001      26.999
348      N12E027_full      12.001      12.999      27.001      27.999
349      N12E028_full      12.001      12.999      28.001      28.999
350      N12E029_full      12.001      12.999      29.001      29.999
351      N13E000_full      13.001      13.999      0.001      0.999
352      N13E001_full      13.001      13.999      1.001      1.999
353      N13E002_full      13.001      13.999      2.001      2.999
354      N13E003_full      13.001      13.999      3.001      3.999
355      N13E004_full      13.001      13.999      4.001      4.999
356      N13E005_full      13.001      13.999      5.001      5.999
357      N13E006_full      13.001      13.999      6.001      6.999
358      N13E007_full      13.001      13.999      7.001      7.999
359      N13E008_full      13.001      13.999      8.001      8.999
360      N13E009_full      13.001      13.999      9.001      9.999
361      N13E010_full      13.001      13.999      10.001      10.999
362      N13E011_full      13.001      13.999      11.001      11.999
363      N13E012_full      13.001      13.999      12.001      12.999
364      N13E013_full      13.001      13.999      13.001      13.999
365      N13E014_full      13.001      13.999      14.001      14.999
366      N13E015_full      13.001      13.999      15.001      15.999
367      N13E016_full      13.001      13.999      16.001      16.999
368      N13E017_full      13.001      13.999      17.001      17.999
369      N13E018_full      13.001      13.999      18.001      18.999
370      N13E019_full      13.001      13.999      19.001      19.999
371      N13E020_full      13.001      13.999      20.001      20.999
372      N13E021_full      13.001      13.999      21.001      21.999
373      N13E022_full      13.001      13.999      22.001      22.999
374      N13E023_full      13.001      13.999      23.001      23.999
375      N13E024_full      13.001      13.999      24.001      24.999
376      N13E025_full      13.001      13.999      25.001      25.999
377      N13E026_full      13.001      13.999      26.001      26.999
378      N13E027_full      13.001      13.999      27.001      27.999
379      N13E028_full      13.001      13.999      28.001      28.999
380      N13E029_full      13.001      13.999      29.001      29.999
381      N14E000_full      14.001      14.999      0.001      0.999
382      N14E001_full      14.001      14.999      1.001      1.999
383      N14E002_full      14.001      14.999      2.001      2.999
384      N14E003_full      14.001      14.999      3.001      3.999
385      N14E004_full      14.001      14.999      4.001      4.999
386      N14E005_full      14.001      14.999      5.001      5.999
387      N14E006_full      14.001      14.999      6.001      6.999
388      N14E007_full      14.001      14.999      7.001      7.999
389      N14E008_full      14.001      14.999      8.001      8.999
390      N14E009_full      14.001      14.999      9.001      9.999
391      N14E010_full      14.001      14.999      10.001      10.999
392      N14E011_full      14.001      14.999      11.001      11.999
393      N14E012_full      14.001      14.999      12.001      12.999
394      N14E013_full      14.001      14.999      13.001      13.999
395      N14E014_full      14.001      14.999      14.001      14.999
396      N14E015_full      14.001      14.999      15.001      15.999
397      N14E016_full      14.001      14.999      16.001      16.999
398      N14E017_full      14.001      14.999      17.001      17.999
399      N14E018_full      14.001      14.999      18.001      18.999
400      N14E019_full      14.001      14.999      19.001      19.999
401      N14E020_full      14.001      14.999      20.001      20.999
402      N14E021_full      14.001      14.999      21.001      21.999
403      N14E022_full      14.001      14.999      22.001      22.999
404      N14E023_full      14.001      14.999      23.001      23.999
405      N14E024_full      14.001      14.999      24.001      24.999
406      N14E025_full      14.001      14.999      25.001      25.999
407      N14E026_full      14.001      14.999      26.001      26.999
408      N14E027_full      14.001      14.999      27.001      27.999
409      N14E028_full      14.001      14.999      28.001      28.999
410      N14E029_full      14.001      14.999      29.001      29.999
411      N15E000_full      15.001      15.999      0.001      0.999
412      N15E001_full      15.001      15.999      1.001      1.999
413      N15E002_full      15.001      15.999      2.001      2.999
414      N15E003_full      15.001      15.999      3.001      3.999
415      N15E004_full      15.001      15.999      4.001      4.999
416      N15E005_full      15.001      15.999      5.001      5.999
417      N15E006_full      15.001      15.999      6.001      6.999
418      N15E007_full      15.001      15.999      7.001      7.999
419      N15E008_full      15.001      15.999      8.001      8.999
420      N15E009_full      15.001      15.999      9.001      9.999
421      N15E010_full      15.001      15.999      10.001      10.999
422      N15E011_full      15.001      15.999      11.001      11.999
423      N15E012_full      15.001      15.999      12.001      12.999
424      N15E013_full      15.001      15.999      13.001      13.999
425      N15E014_full      15.001      15.999      14.001      14.999
426      N15E015_full      15.001      15.999      15.001      15.999
427      N15E016_full      15.001      15.999      16.001      16.999
428      N15E017_full      15.001      15.999      17.001      17.999
429      N15E018_full      15.001      15.999      18.001      18.999
430      N15E019_full      15.001      15.999      19.001      19.999
431      N15E020_full      15.001      15.999      20.001      20.999
432      N15E021_full      15.001      15.999      21.001      21.999
433      N15E022_full      15.001      15.999      22.001      22.999
434      N15E023_full      15.001      15.999      23.001      23.999
435      N15E024_full      15.001      15.999      24.001      24.999
436      N15E025_full      15.001      15.999      25.001      25.999
437      N15E026_full      15.001      15.999      26.001      26.999
438      N15E027_full      15.001      15.999      27.001      27.999
439      N15E028_full      15.001      15.999      28.001      28.999
440      N15E029_full      15.001      15.999      29.001      29.999
441      N16E000_full      16.001      16.999      0.001      0.999
442      N16E001_full      16.001      16.999      1.001      1.999
443      N16E002_full      16.001      16.999      2.001      2.999
444      N16E003_full      16.001      16.999      3.001      3.999
445      N16E004_full      16.001      16.999      4.001      4.999
446      N16E005_full      16.001      16.999      5.001      5.999
447      N16E006_full      16.001      16.999      6.001      6.999
448      N16E007_full      16.001      16.999      7.001      7.999
449      N16E008_full      16.001      16.999      8.001      8.999
450      N16E009_full      16.001      16.999      9.001      9.999
451      N16E010_full      16.001      16.999      10.001      10.999
452      N16E011_full      16.001      16.999      11.001      11.999
453      N16E012_full      16.001      16.999      12.001      12.999
454      N16E013_full      16.001      16.999      13.001      13.999
455      N16E014_full      16.001      16.999      14.001      14.999
456      N16E015_full      16.001      16.999      15.001      15.999
457      N16E016_full      16.001      16.999      16.001      16.999
458      N16E017_full      16.001      16.999      17.001      17.999
459      N16E018_full      16.001      16.999      18.001      18.999
460      N16E019_full      16.001      16.999      19.001      19.999
461      N16E020_full      16.001      16.999      20.001      20.999
